
 OUTPUT FROM bailey_pset7_problem2.m 

 Finding Eigenvectors and Eigenvalues Using Shifted Power Method 
 Using x same as the initial guess vector. 
Iter.    x(1)      x(2)          x(3)          x(4)        x(n-3)      x(n-2)      x(n-1)        x(n)        lambda       check
486 +4.30574e-01 -4.94925e-01 +2.59874e-01 -4.09697e-02 -4.09697e-02 +2.59874e-01 -4.94925e-01 +4.30574e-01 +6.76236e-04 +9.23051e-05 
487 -4.30279e-01 +4.94927e-01 -2.60304e-01 +4.13434e-02 +4.13434e-02 -2.60304e-01 +4.94927e-01 -4.30279e-01 +6.76068e-04 +9.21551e-05 
488 +4.29984e-01 -4.94928e-01 +2.60732e-01 -4.17171e-02 -4.17171e-02 +2.60732e-01 -4.94928e-01 +4.29984e-01 +6.75899e-04 +9.20056e-05 
489 -4.29689e-01 +4.94929e-01 -2.61159e-01 +4.20907e-02 +4.20907e-02 -2.61159e-01 +4.94929e-01 -4.29689e-01 +6.75731e-04 +9.18567e-05 
490 +4.29396e-01 -4.94929e-01 +2.61585e-01 -4.24643e-02 -4.24643e-02 +2.61585e-01 -4.94929e-01 +4.29396e-01 +6.75564e-04 +9.17082e-05 
491 -4.29102e-01 +4.94928e-01 -2.62010e-01 +4.28377e-02 +4.28377e-02 -2.62010e-01 +4.94928e-01 -4.29102e-01 +6.75398e-04 +9.15602e-05 
492 +4.28809e-01 -4.94927e-01 +2.62434e-01 -4.32110e-02 -4.32110e-02 +2.62434e-01 -4.94927e-01 +4.28809e-01 +6.75231e-04 +9.14128e-05 
493 -4.28517e-01 +4.94926e-01 -2.62856e-01 +4.35843e-02 +4.35843e-02 -2.62856e-01 +4.94926e-01 -4.28517e-01 +6.75066e-04 +9.12658e-05 
494 +4.28225e-01 -4.94924e-01 +2.63277e-01 -4.39574e-02 -4.39574e-02 +2.63277e-01 -4.94924e-01 +4.28225e-01 +6.74901e-04 +9.11194e-05 
495 -4.27934e-01 +4.94921e-01 -2.63697e-01 +4.43305e-02 +4.43305e-02 -2.63697e-01 +4.94921e-01 -4.27934e-01 +6.74736e-04 +9.09734e-05 
496 +4.27643e-01 -4.94918e-01 +2.64116e-01 -4.47034e-02 -4.47034e-02 +2.64116e-01 -4.94918e-01 +4.27643e-01 +6.74572e-04 +9.08279e-05 
497 -4.27352e-01 +4.94914e-01 -2.64533e-01 +4.50763e-02 +4.50763e-02 -2.64533e-01 +4.94914e-01 -4.27352e-01 +6.74409e-04 +9.06830e-05 
498 +4.27062e-01 -4.94909e-01 +2.64950e-01 -4.54490e-02 -4.54490e-02 +2.64950e-01 -4.94909e-01 +4.27062e-01 +6.74246e-04 +9.05385e-05 
499 -4.26773e-01 +4.94904e-01 -2.65365e-01 +4.58216e-02 +4.58216e-02 -2.65365e-01 +4.94904e-01 -4.26773e-01 +6.74083e-04 +9.03945e-05 
500 +4.26484e-01 -4.94898e-01 +2.65779e-01 -4.61942e-02 -4.61942e-02 +2.65779e-01 -4.94898e-01 +4.26484e-01 +6.73921e-04 +9.02510e-05 
501 -4.26196e-01 +4.94892e-01 -2.66191e-01 +4.65666e-02 +4.65666e-02 -2.66191e-01 +4.94892e-01 -4.26196e-01 +6.73760e-04 +9.01079e-05 
502 +4.25908e-01 -4.94885e-01 +2.66603e-01 -4.69388e-02 -4.69388e-02 +2.66603e-01 -4.94885e-01 +4.25908e-01 +6.73599e-04 +8.99654e-05 
503 -4.25621e-01 +4.94878e-01 -2.67013e-01 +4.73110e-02 +4.73110e-02 -2.67013e-01 +4.94878e-01 -4.25621e-01 +6.73439e-04 +8.98233e-05 
504 +4.25334e-01 -4.94870e-01 +2.67423e-01 -4.76830e-02 -4.76830e-02 +2.67423e-01 -4.94870e-01 +4.25334e-01 +6.73279e-04 +8.96817e-05 
505 -4.25047e-01 +4.94862e-01 -2.67831e-01 +4.80550e-02 +4.80550e-02 -2.67831e-01 +4.94862e-01 -4.25047e-01 +6.73119e-04 +8.95405e-05 
506 +4.24761e-01 -4.94853e-01 +2.68237e-01 -4.84267e-02 -4.84267e-02 +2.68237e-01 -4.94853e-01 +4.24761e-01 +6.72960e-04 +8.93999e-05 
507 -4.24476e-01 +4.94843e-01 -2.68643e-01 +4.87984e-02 +4.87984e-02 -2.68643e-01 +4.94843e-01 -4.24476e-01 +6.72802e-04 +8.92596e-05 
508 +4.24191e-01 -4.94833e-01 +2.69048e-01 -4.91699e-02 -4.91699e-02 +2.69048e-01 -4.94833e-01 +4.24191e-01 +6.72644e-04 +8.91199e-05 
509 -4.23907e-01 +4.94823e-01 -2.69451e-01 +4.95413e-02 +4.95413e-02 -2.69451e-01 +4.94823e-01 -4.23907e-01 +6.72487e-04 +8.89806e-05 
510 +4.23623e-01 -4.94811e-01 +2.69853e-01 -4.99126e-02 -4.99126e-02 +2.69853e-01 -4.94811e-01 +4.23623e-01 +6.72330e-04 +8.88418e-05 
511 -4.23339e-01 +4.94800e-01 -2.70255e-01 +5.02837e-02 +5.02837e-02 -2.70255e-01 +4.94800e-01 -4.23339e-01 +6.72173e-04 +8.87034e-05 
512 +4.23056e-01 -4.94788e-01 +2.70655e-01 -5.06547e-02 -5.06547e-02 +2.70655e-01 -4.94788e-01 +4.23056e-01 +6.72017e-04 +8.85655e-05 
513 -4.22774e-01 +4.94775e-01 -2.71053e-01 +5.10255e-02 +5.10255e-02 -2.71053e-01 +4.94775e-01 -4.22774e-01 +6.71862e-04 +8.84280e-05 
514 +4.22492e-01 -4.94762e-01 +2.71451e-01 -5.13962e-02 -5.13962e-02 +2.71451e-01 -4.94762e-01 +4.22492e-01 +6.71707e-04 +8.82910e-05 
515 -4.22210e-01 +4.94748e-01 -2.71848e-01 +5.17667e-02 +5.17667e-02 -2.71848e-01 +4.94748e-01 -4.22210e-01 +6.71553e-04 +8.81545e-05 
516 +4.21929e-01 -4.94734e-01 +2.72243e-01 -5.21371e-02 -5.21371e-02 +2.72243e-01 -4.94734e-01 +4.21929e-01 +6.71399e-04 +8.80183e-05 
517 -4.21649e-01 +4.94719e-01 -2.72637e-01 +5.25073e-02 +5.25073e-02 -2.72637e-01 +4.94719e-01 -4.21649e-01 +6.71245e-04 +8.78827e-05 
518 +4.21368e-01 -4.94703e-01 +2.73030e-01 -5.28774e-02 -5.28774e-02 +2.73030e-01 -4.94703e-01 +4.21368e-01 +6.71092e-04 +8.77474e-05 
519 -4.21089e-01 +4.94688e-01 -2.73423e-01 +5.32473e-02 +5.32473e-02 -2.73423e-01 +4.94688e-01 -4.21089e-01 +6.70939e-04 +8.76126e-05 
520 +4.20810e-01 -4.94671e-01 +2.73813e-01 -5.36171e-02 -5.36171e-02 +2.73813e-01 -4.94671e-01 +4.20810e-01 +6.70787e-04 +8.74783e-05 
521 -4.20531e-01 +4.94654e-01 -2.74203e-01 +5.39867e-02 +5.39867e-02 -2.74203e-01 +4.94654e-01 -4.20531e-01 +6.70636e-04 +8.73443e-05 
522 +4.20253e-01 -4.94637e-01 +2.74592e-01 -5.43561e-02 -5.43561e-02 +2.74592e-01 -4.94637e-01 +4.20253e-01 +6.70484e-04 +8.72108e-05 
523 -4.19975e-01 +4.94619e-01 -2.74980e-01 +5.47254e-02 +5.47254e-02 -2.74980e-01 +4.94619e-01 -4.19975e-01 +6.70334e-04 +8.70778e-05 
524 +4.19698e-01 -4.94601e-01 +2.75366e-01 -5.50945e-02 -5.50945e-02 +2.75366e-01 -4.94601e-01 +4.19698e-01 +6.70183e-04 +8.69451e-05 
525 -4.19421e-01 +4.94582e-01 -2.75751e-01 +5.54634e-02 +5.54634e-02 -2.75751e-01 +4.94582e-01 -4.19421e-01 +6.70034e-04 +8.68129e-05 
526 +4.19145e-01 -4.94563e-01 +2.76136e-01 -5.58321e-02 -5.58321e-02 +2.76136e-01 -4.94563e-01 +4.19145e-01 +6.69884e-04 +8.66811e-05 
527 -4.18869e-01 +4.94543e-01 -2.76519e-01 +5.62007e-02 +5.62007e-02 -2.76519e-01 +4.94543e-01 -4.18869e-01 +6.69735e-04 +8.65497e-05 
528 +4.18593e-01 -4.94523e-01 +2.76901e-01 -5.65691e-02 -5.65691e-02 +2.76901e-01 -4.94523e-01 +4.18593e-01 +6.69587e-04 +8.64188e-05 
529 -4.18318e-01 +4.94502e-01 -2.77282e-01 +5.69373e-02 +5.69373e-02 -2.77282e-01 +4.94502e-01 -4.18318e-01 +6.69439e-04 +8.62882e-05 
530 +4.18044e-01 -4.94481e-01 +2.77662e-01 -5.73054e-02 -5.73054e-02 +2.77662e-01 -4.94481e-01 +4.18044e-01 +6.69291e-04 +8.61581e-05 
531 -4.17770e-01 +4.94459e-01 -2.78041e-01 +5.76732e-02 +5.76732e-02 -2.78041e-01 +4.94459e-01 -4.17770e-01 +6.69144e-04 +8.60284e-05 
532 +4.17496e-01 -4.94437e-01 +2.78419e-01 -5.80409e-02 -5.80409e-02 +2.78419e-01 -4.94437e-01 +4.17496e-01 +6.68997e-04 +8.58991e-05 
533 -4.17223e-01 +4.94415e-01 -2.78795e-01 +5.84084e-02 +5.84084e-02 -2.78795e-01 +4.94415e-01 -4.17223e-01 +6.68851e-04 +8.57702e-05 
534 +4.16950e-01 -4.94392e-01 +2.79171e-01 -5.87757e-02 -5.87757e-02 +2.79171e-01 -4.94392e-01 +4.16950e-01 +6.68705e-04 +8.56417e-05 
535 -4.16678e-01 +4.94368e-01 -2.79546e-01 +5.91428e-02 +5.91428e-02 -2.79546e-01 +4.94368e-01 -4.16678e-01 +6.68560e-04 +8.55136e-05 
536 +4.16406e-01 -4.94344e-01 +2.79919e-01 -5.95098e-02 -5.95098e-02 +2.79919e-01 -4.94344e-01 +4.16406e-01 +6.68415e-04 +8.53859e-05 
537 -4.16135e-01 +4.94320e-01 -2.80291e-01 +5.98765e-02 +5.98765e-02 -2.80291e-01 +4.94320e-01 -4.16135e-01 +6.68271e-04 +8.52586e-05 
538 +4.15864e-01 -4.94295e-01 +2.80663e-01 -6.02430e-02 -6.02430e-02 +2.80663e-01 -4.94295e-01 +4.15864e-01 +6.68127e-04 +8.51318e-05 
539 -4.15594e-01 +4.94269e-01 -2.81033e-01 +6.06093e-02 +6.06093e-02 -2.81033e-01 +4.94269e-01 -4.15594e-01 +6.67983e-04 +8.50053e-05 
540 +4.15324e-01 -4.94244e-01 +2.81402e-01 -6.09755e-02 -6.09755e-02 +2.81402e-01 -4.94244e-01 +4.15324e-01 +6.67840e-04 +8.48792e-05 
541 -4.15054e-01 +4.94217e-01 -2.81771e-01 +6.13414e-02 +6.13414e-02 -2.81771e-01 +4.94217e-01 -4.15054e-01 +6.67697e-04 +8.47535e-05 
542 +4.14785e-01 -4.94191e-01 +2.82138e-01 -6.17072e-02 -6.17072e-02 +2.82138e-01 -4.94191e-01 +4.14785e-01 +6.67555e-04 +8.46282e-05 
543 -4.14516e-01 +4.94164e-01 -2.82504e-01 +6.20727e-02 +6.20727e-02 -2.82504e-01 +4.94164e-01 -4.14516e-01 +6.67413e-04 +8.45033e-05 
544 +4.14248e-01 -4.94136e-01 +2.82869e-01 -6.24380e-02 -6.24380e-02 +2.82869e-01 -4.94136e-01 +4.14248e-01 +6.67271e-04 +8.43787e-05 
545 -4.13980e-01 +4.94108e-01 -2.83233e-01 +6.28031e-02 +6.28031e-02 -2.83233e-01 +4.94108e-01 -4.13980e-01 +6.67130e-04 +8.42546e-05 
546 +4.13713e-01 -4.94080e-01 +2.83596e-01 -6.31680e-02 -6.31680e-02 +2.83596e-01 -4.94080e-01 +4.13713e-01 +6.66989e-04 +8.41308e-05 
547 -4.13446e-01 +4.94051e-01 -2.83958e-01 +6.35327e-02 +6.35327e-02 -2.83958e-01 +4.94051e-01 -4.13446e-01 +6.66849e-04 +8.40075e-05 
548 +4.13180e-01 -4.94021e-01 +2.84319e-01 -6.38972e-02 -6.38972e-02 +2.84319e-01 -4.94021e-01 +4.13180e-01 +6.66709e-04 +8.38845e-05 
549 -4.12914e-01 +4.93992e-01 -2.84679e-01 +6.42615e-02 +6.42615e-02 -2.84679e-01 +4.93992e-01 -4.12914e-01 +6.66570e-04 +8.37618e-05 
550 +4.12648e-01 -4.93962e-01 +2.85038e-01 -6.46255e-02 -6.46255e-02 +2.85038e-01 -4.93962e-01 +4.12648e-01 +6.66431e-04 +8.36396e-05 
551 -4.12383e-01 +4.93931e-01 -2.85396e-01 +6.49893e-02 +6.49893e-02 -2.85396e-01 +4.93931e-01 -4.12383e-01 +6.66292e-04 +8.35177e-05 
552 +4.12118e-01 -4.93900e-01 +2.85753e-01 -6.53530e-02 -6.53530e-02 +2.85753e-01 -4.93900e-01 +4.12118e-01 +6.66154e-04 +8.33962e-05 
553 -4.11854e-01 +4.93869e-01 -2.86109e-01 +6.57163e-02 +6.57163e-02 -2.86109e-01 +4.93869e-01 -4.11854e-01 +6.66016e-04 +8.32751e-05 
554 +4.11590e-01 -4.93837e-01 +2.86463e-01 -6.60795e-02 -6.60795e-02 +2.86463e-01 -4.93837e-01 +4.11590e-01 +6.65879e-04 +8.31543e-05 
555 -4.11326e-01 +4.93805e-01 -2.86817e-01 +6.64425e-02 +6.64425e-02 -2.86817e-01 +4.93805e-01 -4.11326e-01 +6.65742e-04 +8.30339e-05 
556 +4.11063e-01 -4.93772e-01 +2.87170e-01 -6.68052e-02 -6.68052e-02 +2.87170e-01 -4.93772e-01 +4.11063e-01 +6.65605e-04 +8.29139e-05 
557 -4.10801e-01 +4.93739e-01 -2.87522e-01 +6.71677e-02 +6.71677e-02 -2.87522e-01 +4.93739e-01 -4.10801e-01 +6.65469e-04 +8.27943e-05 
558 +4.10539e-01 -4.93706e-01 +2.87873e-01 -6.75299e-02 -6.75299e-02 +2.87873e-01 -4.93706e-01 +4.10539e-01 +6.65333e-04 +8.26750e-05 
559 -4.10277e-01 +4.93672e-01 -2.88223e-01 +6.78920e-02 +6.78920e-02 -2.88223e-01 +4.93672e-01 -4.10277e-01 +6.65197e-04 +8.25560e-05 
560 +4.10016e-01 -4.93638e-01 +2.88572e-01 -6.82538e-02 -6.82538e-02 +2.88572e-01 -4.93638e-01 +4.10016e-01 +6.65062e-04 +8.24374e-05 
561 -4.09755e-01 +4.93603e-01 -2.88919e-01 +6.86153e-02 +6.86153e-02 -2.88919e-01 +4.93603e-01 -4.09755e-01 +6.64928e-04 +8.23192e-05 
562 +4.09494e-01 -4.93568e-01 +2.89266e-01 -6.89767e-02 -6.89767e-02 +2.89266e-01 -4.93568e-01 +4.09494e-01 +6.64793e-04 +8.22013e-05 
563 -4.09234e-01 +4.93533e-01 -2.89612e-01 +6.93378e-02 +6.93378e-02 -2.89612e-01 +4.93533e-01 -4.09234e-01 +6.64659e-04 +8.20838e-05 
564 +4.08975e-01 -4.93497e-01 +2.89957e-01 -6.96986e-02 -6.96986e-02 +2.89957e-01 -4.93497e-01 +4.08975e-01 +6.64526e-04 +8.19667e-05 
565 -4.08715e-01 +4.93461e-01 -2.90301e-01 +7.00593e-02 +7.00593e-02 -2.90301e-01 +4.93461e-01 -4.08715e-01 +6.64393e-04 +8.18499e-05 
566 +4.08456e-01 -4.93424e-01 +2.90644e-01 -7.04196e-02 -7.04196e-02 +2.90644e-01 -4.93424e-01 +4.08456e-01 +6.64260e-04 +8.17334e-05 
567 -4.08198e-01 +4.93387e-01 -2.90986e-01 +7.07798e-02 +7.07798e-02 -2.90986e-01 +4.93387e-01 -4.08198e-01 +6.64128e-04 +8.16173e-05 
568 +4.07940e-01 -4.93350e-01 +2.91327e-01 -7.11397e-02 -7.11397e-02 +2.91327e-01 -4.93350e-01 +4.07940e-01 +6.63996e-04 +8.15015e-05 
569 -4.07683e-01 +4.93312e-01 -2.91667e-01 +7.14993e-02 +7.14993e-02 -2.91667e-01 +4.93312e-01 -4.07683e-01 +6.63864e-04 +8.13861e-05 
570 +4.07425e-01 -4.93274e-01 +2.92006e-01 -7.18587e-02 -7.18587e-02 +2.92006e-01 -4.93274e-01 +4.07425e-01 +6.63733e-04 +8.12710e-05 
571 -4.07169e-01 +4.93235e-01 -2.92344e-01 +7.22179e-02 +7.22179e-02 -2.92344e-01 +4.93235e-01 -4.07169e-01 +6.63602e-04 +8.11563e-05 
572 +4.06912e-01 -4.93197e-01 +2.92682e-01 -7.25768e-02 -7.25768e-02 +2.92682e-01 -4.93197e-01 +4.06912e-01 +6.63471e-04 +8.10419e-05 
573 -4.06656e-01 +4.93157e-01 -2.93018e-01 +7.29355e-02 +7.29355e-02 -2.93018e-01 +4.93157e-01 -4.06656e-01 +6.63341e-04 +8.09278e-05 
574 +4.06401e-01 -4.93118e-01 +2.93353e-01 -7.32939e-02 -7.32939e-02 +2.93353e-01 -4.93118e-01 +4.06401e-01 +6.63211e-04 +8.08141e-05 
575 -4.06146e-01 +4.93078e-01 -2.93687e-01 +7.36520e-02 +7.36520e-02 -2.93687e-01 +4.93078e-01 -4.06146e-01 +6.63082e-04 +8.07007e-05 
576 +4.05891e-01 -4.93038e-01 +2.94021e-01 -7.40100e-02 -7.40100e-02 +2.94021e-01 -4.93038e-01 +4.05891e-01 +6.62953e-04 +8.05877e-05 
577 -4.05637e-01 +4.92997e-01 -2.94353e-01 +7.43676e-02 +7.43676e-02 -2.94353e-01 +4.92997e-01 -4.05637e-01 +6.62824e-04 +8.04749e-05 
578 +4.05383e-01 -4.92956e-01 +2.94685e-01 -7.47250e-02 -7.47250e-02 +2.94685e-01 -4.92956e-01 +4.05383e-01 +6.62696e-04 +8.03625e-05 
579 -4.05129e-01 +4.92914e-01 -2.95015e-01 +7.50821e-02 +7.50821e-02 -2.95015e-01 +4.92914e-01 -4.05129e-01 +6.62568e-04 +8.02505e-05 
580 +4.04876e-01 -4.92873e-01 +2.95345e-01 -7.54390e-02 -7.54390e-02 +2.95345e-01 -4.92873e-01 +4.04876e-01 +6.62440e-04 +8.01387e-05 
581 -4.04623e-01 +4.92831e-01 -2.95674e-01 +7.57956e-02 +7.57956e-02 -2.95674e-01 +4.92831e-01 -4.04623e-01 +6.62313e-04 +8.00273e-05 
582 +4.04371e-01 -4.92788e-01 +2.96001e-01 -7.61520e-02 -7.61520e-02 +2.96001e-01 -4.92788e-01 +4.04371e-01 +6.62186e-04 +7.99162e-05 
583 -4.04119e-01 +4.92745e-01 -2.96328e-01 +7.65081e-02 +7.65081e-02 -2.96328e-01 +4.92745e-01 -4.04119e-01 +6.62059e-04 +7.98055e-05 
584 +4.03868e-01 -4.92702e-01 +2.96654e-01 -7.68639e-02 -7.68639e-02 +2.96654e-01 -4.92702e-01 +4.03868e-01 +6.61933e-04 +7.96950e-05 
585 -4.03616e-01 +4.92659e-01 -2.96979e-01 +7.72195e-02 +7.72195e-02 -2.96979e-01 +4.92659e-01 -4.03616e-01 +6.61807e-04 +7.95849e-05 
586 +4.03366e-01 -4.92615e-01 +2.97303e-01 -7.75748e-02 -7.75748e-02 +2.97303e-01 -4.92615e-01 +4.03366e-01 +6.61682e-04 +7.94751e-05 
587 -4.03115e-01 +4.92571e-01 -2.97626e-01 +7.79299e-02 +7.79299e-02 -2.97626e-01 +4.92571e-01 -4.03115e-01 +6.61557e-04 +7.93656e-05 
588 +4.02865e-01 -4.92526e-01 +2.97949e-01 -7.82846e-02 -7.82846e-02 +2.97949e-01 -4.92526e-01 +4.02865e-01 +6.61432e-04 +7.92565e-05 
589 -4.02616e-01 +4.92482e-01 -2.98270e-01 +7.86391e-02 +7.86391e-02 -2.98270e-01 +4.92482e-01 -4.02616e-01 +6.61307e-04 +7.91476e-05 
590 +4.02367e-01 -4.92436e-01 +2.98590e-01 -7.89934e-02 -7.89934e-02 +2.98590e-01 -4.92436e-01 +4.02367e-01 +6.61183e-04 +7.90391e-05 
591 -4.02118e-01 +4.92391e-01 -2.98910e-01 +7.93473e-02 +7.93473e-02 -2.98910e-01 +4.92391e-01 -4.02118e-01 +6.61059e-04 +7.89308e-05 
592 +4.01869e-01 -4.92345e-01 +2.99228e-01 -7.97010e-02 -7.97010e-02 +2.99228e-01 -4.92345e-01 +4.01869e-01 +6.60936e-04 +7.88229e-05 
593 -4.01621e-01 +4.92299e-01 -2.99546e-01 +8.00544e-02 +8.00544e-02 -2.99546e-01 +4.92299e-01 -4.01621e-01 +6.60813e-04 +7.87153e-05 
594 +4.01374e-01 -4.92252e-01 +2.99863e-01 -8.04076e-02 -8.04076e-02 +2.99863e-01 -4.92252e-01 +4.01374e-01 +6.60690e-04 +7.86080e-05 
595 -4.01127e-01 +4.92205e-01 -3.00179e-01 +8.07605e-02 +8.07605e-02 -3.00179e-01 +4.92205e-01 -4.01127e-01 +6.60567e-04 +7.85010e-05 
596 +4.00880e-01 -4.92158e-01 +3.00494e-01 -8.11131e-02 -8.11131e-02 +3.00494e-01 -4.92158e-01 +4.00880e-01 +6.60445e-04 +7.83943e-05 
597 -4.00633e-01 +4.92111e-01 -3.00808e-01 +8.14654e-02 +8.14654e-02 -3.00808e-01 +4.92111e-01 -4.00633e-01 +6.60323e-04 +7.82879e-05 
598 +4.00387e-01 -4.92063e-01 +3.01121e-01 -8.18174e-02 -8.18174e-02 +3.01121e-01 -4.92063e-01 +4.00387e-01 +6.60202e-04 +7.81819e-05 
599 -4.00141e-01 +4.92015e-01 -3.01434e-01 +8.21692e-02 +8.21692e-02 -3.01434e-01 +4.92015e-01 -4.00141e-01 +6.60081e-04 +7.80761e-05 
600 +3.99896e-01 -4.91967e-01 +3.01745e-01 -8.25207e-02 -8.25207e-02 +3.01745e-01 -4.91967e-01 +3.99896e-01 +6.59960e-04 +7.79706e-05 
601 -3.99651e-01 +4.91918e-01 -3.02056e-01 +8.28719e-02 +8.28719e-02 -3.02056e-01 +4.91918e-01 -3.99651e-01 +6.59840e-04 +7.78654e-05 
602 +3.99407e-01 -4.91869e-01 +3.02365e-01 -8.32228e-02 -8.32228e-02 +3.02365e-01 -4.91869e-01 +3.99407e-01 +6.59719e-04 +7.77605e-05 
603 -3.99162e-01 +4.91819e-01 -3.02674e-01 +8.35734e-02 +8.35734e-02 -3.02674e-01 +4.91819e-01 -3.99162e-01 +6.59600e-04 +7.76559e-05 
604 +3.98918e-01 -4.91770e-01 +3.02982e-01 -8.39238e-02 -8.39238e-02 +3.02982e-01 -4.91770e-01 +3.98918e-01 +6.59480e-04 +7.75516e-05 
605 -3.98675e-01 +4.91720e-01 -3.03289e-01 +8.42738e-02 +8.42738e-02 -3.03289e-01 +4.91720e-01 -3.98675e-01 +6.59361e-04 +7.74476e-05 
606 +3.98432e-01 -4.91670e-01 +3.03596e-01 -8.46236e-02 -8.46236e-02 +3.03596e-01 -4.91670e-01 +3.98432e-01 +6.59242e-04 +7.73439e-05 
607 -3.98189e-01 +4.91619e-01 -3.03901e-01 +8.49731e-02 +8.49731e-02 -3.03901e-01 +4.91619e-01 -3.98189e-01 +6.59123e-04 +7.72405e-05 
608 +3.97947e-01 -4.91568e-01 +3.04206e-01 -8.53223e-02 -8.53223e-02 +3.04206e-01 -4.91568e-01 +3.97947e-01 +6.59005e-04 +7.71374e-05 
609 -3.97705e-01 +4.91517e-01 -3.04509e-01 +8.56712e-02 +8.56712e-02 -3.04509e-01 +4.91517e-01 -3.97705e-01 +6.58887e-04 +7.70345e-05 
610 +3.97463e-01 -4.91465e-01 +3.04812e-01 -8.60199e-02 -8.60199e-02 +3.04812e-01 -4.91465e-01 +3.97463e-01 +6.58770e-04 +7.69320e-05 
611 -3.97222e-01 +4.91414e-01 -3.05114e-01 +8.63682e-02 +8.63682e-02 -3.05114e-01 +4.91414e-01 -3.97222e-01 +6.58652e-04 +7.68297e-05 
612 +3.96981e-01 -4.91362e-01 +3.05415e-01 -8.67163e-02 -8.67163e-02 +3.05415e-01 -4.91362e-01 +3.96981e-01 +6.58535e-04 +7.67277e-05 
613 -3.96741e-01 +4.91309e-01 -3.05715e-01 +8.70640e-02 +8.70640e-02 -3.05715e-01 +4.91309e-01 -3.96741e-01 +6.58419e-04 +7.66260e-05 
614 +3.96501e-01 -4.91256e-01 +3.06015e-01 -8.74115e-02 -8.74115e-02 +3.06015e-01 -4.91256e-01 +3.96501e-01 +6.58302e-04 +7.65246e-05 
615 -3.96261e-01 +4.91204e-01 -3.06313e-01 +8.77587e-02 +8.77587e-02 -3.06313e-01 +4.91204e-01 -3.96261e-01 +6.58186e-04 +7.64235e-05 
616 +3.96021e-01 -4.91150e-01 +3.06611e-01 -8.81055e-02 -8.81055e-02 +3.06611e-01 -4.91150e-01 +3.96021e-01 +6.58071e-04 +7.63226e-05 
617 -3.95782e-01 +4.91097e-01 -3.06908e-01 +8.84521e-02 +8.84521e-02 -3.06908e-01 +4.91097e-01 -3.95782e-01 +6.57955e-04 +7.62220e-05 
618 +3.95544e-01 -4.91043e-01 +3.07204e-01 -8.87984e-02 -8.87984e-02 +3.07204e-01 -4.91043e-01 +3.95544e-01 +6.57840e-04 +7.61217e-05 
619 -3.95305e-01 +4.90989e-01 -3.07499e-01 +8.91444e-02 +8.91444e-02 -3.07499e-01 +4.90989e-01 -3.95305e-01 +6.57725e-04 +7.60217e-05 
620 +3.95067e-01 -4.90934e-01 +3.07794e-01 -8.94901e-02 -8.94901e-02 +3.07794e-01 -4.90934e-01 +3.95067e-01 +6.57611e-04 +7.59219e-05 
621 -3.94830e-01 +4.90880e-01 -3.08087e-01 +8.98355e-02 +8.98355e-02 -3.08087e-01 +4.90880e-01 -3.94830e-01 +6.57496e-04 +7.58225e-05 
622 +3.94593e-01 -4.90825e-01 +3.08380e-01 -9.01806e-02 -9.01806e-02 +3.08380e-01 -4.90825e-01 +3.94593e-01 +6.57382e-04 +7.57232e-05 
623 -3.94356e-01 +4.90770e-01 -3.08672e-01 +9.05254e-02 +9.05254e-02 -3.08672e-01 +4.90770e-01 -3.94356e-01 +6.57269e-04 +7.56243e-05 
624 +3.94119e-01 -4.90714e-01 +3.08963e-01 -9.08699e-02 -9.08699e-02 +3.08963e-01 -4.90714e-01 +3.94119e-01 +6.57156e-04 +7.55257e-05 
625 -3.93883e-01 +4.90658e-01 -3.09253e-01 +9.12141e-02 +9.12141e-02 -3.09253e-01 +4.90658e-01 -3.93883e-01 +6.57042e-04 +7.54273e-05 
626 +3.93647e-01 -4.90602e-01 +3.09542e-01 -9.15580e-02 -9.15580e-02 +3.09542e-01 -4.90602e-01 +3.93647e-01 +6.56930e-04 +7.53291e-05 
627 -3.93412e-01 +4.90546e-01 -3.09831e-01 +9.19016e-02 +9.19016e-02 -3.09831e-01 +4.90546e-01 -3.93412e-01 +6.56817e-04 +7.52313e-05 
628 +3.93177e-01 -4.90490e-01 +3.10119e-01 -9.22448e-02 -9.22448e-02 +3.10119e-01 -4.90490e-01 +3.93177e-01 +6.56705e-04 +7.51337e-05 
629 -3.92942e-01 +4.90433e-01 -3.10406e-01 +9.25878e-02 +9.25878e-02 -3.10406e-01 +4.90433e-01 -3.92942e-01 +6.56593e-04 +7.50364e-05 
630 +3.92708e-01 -4.90376e-01 +3.10692e-01 -9.29305e-02 -9.29305e-02 +3.10692e-01 -4.90376e-01 +3.92708e-01 +6.56482e-04 +7.49393e-05 
631 -3.92474e-01 +4.90318e-01 -3.10977e-01 +9.32729e-02 +9.32729e-02 -3.10977e-01 +4.90318e-01 -3.92474e-01 +6.56370e-04 +7.48425e-05 
632 +3.92240e-01 -4.90261e-01 +3.11262e-01 -9.36150e-02 -9.36150e-02 +3.11262e-01 -4.90261e-01 +3.92240e-01 +6.56259e-04 +7.47460e-05 
633 -3.92006e-01 +4.90203e-01 -3.11546e-01 +9.39567e-02 +9.39567e-02 -3.11546e-01 +4.90203e-01 -3.92006e-01 +6.56149e-04 +7.46497e-05 
634 +3.91773e-01 -4.90145e-01 +3.11829e-01 -9.42982e-02 -9.42982e-02 +3.11829e-01 -4.90145e-01 +3.91773e-01 +6.56038e-04 +7.45537e-05 
